simulation_num,N,seconds,word_count,word_list
58,5,0.4139,84,LEX;OXY;HO;EL;FIAR;KAIL;KAY;HOB;ARK;OFAY;QI;MOC;HOLEY;LOX;LIAR;ILEX;BO;MO;HEY;IF;OIL;FIX;AY;BOLE;KAF;KYAR;BOX;EX;HEX;YO;YOM;FILE;YA;OY;FOIL;FAIL;HE;HELIX;HOLE;YAK;FOB;RAY;FIL;AI;COX;FOH;COY;RAIL;FOLIA;RYA;FLEX;KA;YEH;FAR;LEI;LI;ELF;FILO;OM;EH;BOIL;LEY;XI;OH;YE;FOX;OF;FA;HELO;FOLIAR;HELIO;FOLEY;LO;OI;OLE;AIL;FLEY;AR;YAR;FAY;KAIF;RAI;OX;LOB
59,3,0.2076,8,MI;EMU;VIM;MU;UM;ME;EM;VUM
60,4,0.276,25,PYIN;NIPPY;HYP;PIN;BI;HI;HIND;PIC;YIN;HIPPY;BIN;PIP;PI;PIPY;PYIC;BY;INBY;IN;HIC;YIP;HIN;NIP;HIP;BIND;NIB
61,2,0.1916,19,DO;ODE;SO;OD;DOS;EDS;SOD;OSE;ODS;OS;DE;OE;DOES;ES;DOSE;ODES;DOE;ED;OES
62,4,0.2485,16,AB;WUD;JAB;JAM;AM;ABA;BAM;AN;BAA;NA;BAN;BA;BABA;NAB;MA;AA
63,3,0.22,16,HE;HEX;CEP;PEH;EH;EXEC;FE;BE;PE;HEP;FEH;VEX;PEC;EX;EF;CEPE
64,2,0.1799,1,BY
65,5,0.3586,40,UP;OPUS;POI;OF;SCUM;ZUZ;UM;PE;FIFE;FE;FEOFF;FOE;MUS;POM;US;OP;EF;SUM;CUP;SWUM;OE;OI;SUMO;CUM;MU;SCUP;IFF;OFF;PUS;OM;MOP;SUP;FIE;BY;MY;MO;FIEF;UPO;IF;FOP
66,3,0.2385,22,DOOR;FRO;POOF;DO;OF;POO;ODOR;OD;POD;OP;KOP;OR;ROOD;KOR;POOD;ROD;POOR;FOOD;FOR;JO;DOR;FOP
67,5,0.3972,76,TODS;RUG;UT;PST;DO;TUSK;UP;PUR;FUGS;OW;FUGU;DOW;WO;FUTZ;FUGUS;BYS;STOW;CRUST;TUGS;DOWS;CUR;TOWS;OD;TOW;CUSP;GUSTY;TOD;SWOTS;FUG;GYPS;STY;RUST;GUST;FUCUS;PUG;GUSTS;CUPS;STOWS;TWO;WOK;US;ODS;TO;UTS;CRUS;RUSTS;SPY;CRU;CUP;CUT;UPS;SWOT;WOTS;RUSTY;CUTS;SPUR;PUS;WOT;CUSK;GUT;SUP;WOKS;TUG;CRUSTS;BY;GYP;CRUSTY;GUSTO;GUTS;RUGS;PUGS;TSK;DOT;DOTS;SKY;RUSK
68,3,0.1919,0,
