simulation_num,N,moves,seconds,word_count,word_list
97,3,744,0.3339,80,GOT;AGO;TOGA;NET;GELS;SEL;AGES;TOG;GANE;LES;SNAG;ANGEL;ELS;TOGAE;ANGELS;SEA;NEST;GEN;TETS;GEL;LEG;NEG;GO;TENS;OE;OES;NETS;STET;TEA;SET;SEGO;TEST;TET;GOES;AG;ES;LEST;ET;GETS;LEANS;SEG;EL;ENG;ENS;EN;NAG;NE;NAE;GEST;AN;TELS;NA;LEAN;TEG;TEN;TOE;GAE;ANE;NETTS;AE;SEN;SETT;AGE;GENS;TEL;TO;TOEA;GET;ANES;GAEN;LEA;GAN;GOTTEN;EGO;LENS;LET;LETS;GAES;TOES;NETT
98,3,176,0.1876,7,SUQ;PUS;UPS;US;UP;SUP;SPY
99,3,128,0.1681,4,POX;OX;KOP;OP
100,3,330,0.2191,30,PI;PITY;IT;DIPT;PIPET;TIDY;TYPP;PIP;DITE;PIETY;ET;PIPE;TEPID;DIET;TIE;DIPPY;ID;DIT;PE;PIT;DIP;PIPY;TIP;PYX;DIE;PIE;PET;TIPPY;TYPE;TI
101,4,530,0.2434,17,TSKS;TO;ZOA;STOUT;OS;TSK;OUT;SOT;SO;ZA;TOUT;TOSS;YUTZ;UT;AZO;STOA;SOU
102,4,1463,0.4082,81,RIG;ALL;BRAIL;LAG;ALE;ELL;AR;RAI;BRIG;GYRAL;CLAG;LIAR;RAG;GEL;LEAR;LEG;LAR;LEARY;RAGI;RIAL;CRY;GAL;BRAE;CLEAR;BY;GIRL;GARB;LIB;RAGE;ARB;LAIR;LA;CLARY;GLAIR;RAIL;EARL;BRAG;LIRA;THY;GIB;AIR;GRAIL;EAR;ARGIL;LIBRA;BRA;AG;CRIB;LARI;AL;BI;BYRL;LIBRAE;EL;RIA;BIG;RIB;GALL;GLAIRY;GEAR;EGAL;GAE;LARGE;AE;AIL;AGE;ARGLE;AIRY;GALE;ARC;BIRL;GAR;LI;GLARY;RALE;AI;CRAG;THRALL;LEA;GYRI;ARIL
103,4,758,0.2733,51,PI;PIC;PITY;FARD;TIN;MY;IT;FARCI;DIPT;WYE;TIDY;YEW;CITY;AX;WE;TIC;DRAFTY;CRAFT;PITH;ARC;FAX;NIT;FAR;ME;INDRAFT;AFT;ARF;FA;PHT;DYE;PIN;AR;RAX;ID;DIT;DIN;RAFT;CRAFTY;PIT;DIP;TYE;MYTH;EMYD;NIP;TIP;IN;EM;MEW;DRAFT;TI;YE
104,4,347,0.1979,4,NTH;HUH;XU;UH
105,4,1046,0.3282,85,APO;YAWS;MIG;YAP;SAGY;IMPI;AMP;PIA;GAS;GAP;SWOP;SWAY;MIB;SAG;WOS;PAW;AMI;POWS;AY;SAMP;WAG;AM;WO;SOW;PI;MI;OS;MAY;YAW;AW;GAMB;OP;PA;POW;SWAMP;ZIP;BIMA;YAG;BY;SAY;GAY;YA;MAP;YAM;GIB;SAW;MAWS;AG;WAS;PIAS;PAM;OW;BI;MA;MAS;POI;SAP;SWAMI;BIG;SWAG;QI;SWAP;MAG;WAY;AS;OI;IAMBI;SO;IAMB;MAW;PAWS;SWAM;APOS;SOP;WOP;BIMAS;SOAP;AI;GIMP;WAP;GAMP;PAS;GAM;PAY;IMP
106,4,548,0.2373,23,GOT;GO;HI;BOT;AH;TOG;KHI;OF;TO;HAJ;AHI;FOB;KA;KIR;FOG;IRK;BO;OFT;KIRN;GOB;BOG;KI;HA
107,4,922,0.2916,50,PI;ITS;SNITS;PISS;INS;TIN;SIX;PSST;IT;HI;KNIT;XIS;HITS;THIN;HIT;NITS;INFIX;XI;FIST;SIFT;TINS;IS;KNITS;NIT;NTH;FIZ;ZIP;KHI;IF;PIX;HINT;THINK;THINS;INK;STINK;IFS;SIPS;SNIT;PSI;HINS;IN;PST;PIS;FIX;ZIPS;SIP;HIN;HINTS;TI;SI
108,4,1261,0.3693,45,IGGS;PI;GIG;RUGS;IGG;OS;POOS;RIG;GOS;GO;RIGS;JOGS;GUIRO;OI;SOGGILY;POO;GOGOS;XI;OP;JO;SO;GIP;JUG;JOG;GOOS;LI;PILY;OIL;GOGO;PIG;JIGS;POI;OUR;OR;JIGGLY;GIRO;GOO;OILY;RUG;JIG;GOOP;GOOGLY;LIP;GIGS;JUGS
109,4,734,0.271,47,WISP;DIRTS;PUTRID;GUT;DIRT;PUG;XU;WILD;UP;TUG;RIDS;TUP;GRIDS;SPUD;UTS;SILD;TUPS;WILDS;IS;LIS;DUG;DUPS;UT;LIST;TUX;LI;WIS;IDS;RID;DIRL;DIRLS;PUTS;PUTZ;ID;PUD;WIST;PSI;GRID;DUP;UPS;PUT;PST;STUD;SRI;LISP;GUTS;SI
110,4,998,0.3096,23,KI;ZAG;LO;HI;LICH;AG;KILO;VIG;LAG;CIG;ICH;CHI;HILA;VIGA;GAL;GHI;ZA;AL;LI;CHIC;LA;GAOL;HIC
111,4,849,0.2823,34,MY;OVA;BA;FRY;YO;AHOY;RYOT;YURT;TOY;TURF;AH;HAM;AB;OY;HOY;UT;BAH;AVO;OH;TURFY;TO;MA;HOT;RUT;AHA;TUT;HO;TRYMA;AM;TRY;BAM;HAO;TOT;HA
112,4,2245,0.5473,123,MOLD;LOAD;DOIT;DOT;LO;TUI;MODAL;LAMB;UH;BOT;INTO;AMIDOL;TIMID;INTUIT;ABO;OM;MOB;NU;AMI;ID;MOD;AM;IN;HUNT;DIOL;ADIT;IMIDO;BOD;MI;LAD;LOTI;HI;BOA;AMIN;TOLA;DAM;DOM;ALOIN;UNTOLD;AMBO;LAM;OLD;AMIDO;UT;TOLD;UN;IF;AD;LOT;MID;HUN;LA;NIDAL;DAB;BOLA;MOLA;TOD;MALOTI;DO;TIMBAL;IT;BA;TOMBAL;MODI;TOM;HIT;MOA;OBA;LOAM;ADO;AL;AB;BAD;TOMB;MA;DAL;IODIN;TIDAL;ODA;BAM;TOIT;BALD;LAB;TI;LOB;DINT;MOL;HIM;TIN;HID;INTOMB;DOL;MAD;DOMAL;IDOL;UNIT;OI;OMIT;MINT;IMID;NUT;AMID;NIT;LOID;BAL;FIT;HINT;TO;TUN;OD;MOT;TOAD;DIT;DIN;NIM;BO;LOIN;MO;BOLD;HUT;HIN;DIM;UNTO
113,4,488,0.2153,16,EDGY;GED;GEY;DYE;EDDY;WEDGY;DE;WED;DEW;YEW;ED;JEW;WE;DYED;YE;DEY
114,4,802,0.2688,48,TEN;DEX;TET;TENDU;TEND;JET;DUN;WYE;WYTE;ED;DUB;DEY;BUN;NET;END;WYTED;TENT;ET;NUDE;DE;LYE;TENTY;YETT;UN;WUD;BY;DEN;DYE;YEN;NETTY;WYN;EN;NE;NU;DENT;EX;TYE;DUET;DUE;JETTY;YET;NUB;BUD;JEU;TED;NETT;BUY;YE
